Decaying MHD turbulence in a confined disc -- Neffaa, Bos & Schneider (2008)   DEMONSTRATOR
backend Threads   precision FP64   D2Q9 fluid + D2Q5 magnetic   operator MhdCM

  Eq. (11) mixing: beta 0.000001 gives cos(theta) 0.000001 against Table I's 0.000001  (<u.w> = -0.0000)
  vector potential: max|curl a - b| / max|b| = 4.373e-15
  N 321   disc, half-width 152.5 (48% of the box)   73045 fluid nodes
  OPERATOR (dispatched) MhdCM   fluid forcing FieldGuo (penalisation ACTIVE)   magnetic source penalised B.n
  Re 1000   Pr_m 1.00   nu 0.01525 (tau 0.5457)   eta 0.01525 (omega_mag 1.8324)
  wall PENALISATION   eps 2.00 (fluid)  eps_m 2.00 (magnetic)  chi width 1.00 cells   no solid, no wall condition
  NEFFAA REGIME 2 (Table I)   spectrum E(k) ~ k/[0.98 + k/((3/4)sqrt(2)pi)]^4   r = (19/20)pi in a 2pi box
  u_rms 0.0500 (Ma 0.0866)   k^-3 spectrum   E_kin/E_mag 19000.000   walls penalised, B.n = 0 (perfect conductor)   seed 99
  one turnover 2R/u0 = 6099 steps; running 304950 (50.0 turnovers)

      step    t/T_e       E_kin       E_mag   E_k/E_m        E/A   enstrophy       <j^2>     L_u     L_b      H_c       |<b>|      max|b|     dv/cl      bulk  Bn/B|wall
  --------------------------------------------------------------------------------------------------------------------------------------------------------------------
    182970    30.00  4.3070e-07  3.2646e-11 13193.0662  1.411e+05  6.3166e-10  3.6483e-14   36.93   42.30  -0.5276  5.3517e-07  1.6285e-05  7.95e-02  7.64e-02  2.233e-03
    189069    31.00  3.7634e-07  3.1563e-11 11923.1516  1.341e+05  5.4422e-10  3.3790e-14   37.19   43.22  -0.5452  5.1805e-07  1.5801e-05  7.66e-02  7.36e-02  2.148e-03
    195168    32.00  3.2941e-07  3.0574e-11 10774.3526  1.273e+05  4.7051e-10  3.1395e-14   37.42   44.13  -0.5615  5.0175e-07  1.5316e-05  7.40e-02  7.11e-02  2.058e-03
    201267    33.00  2.8879e-07  2.9668e-11 9734.0481  1.208e+05  4.0802e-10  2.9268e-14   37.62   45.03  -0.5768  4.8620e-07  1.4836e-05  7.16e-02  6.88e-02  1.968e-03
    207366    34.00  2.5351e-07  2.8835e-11 8791.6008  1.145e+05  3.5476e-10  2.7379e-14   37.80   45.90  -0.5909  4.7138e-07  1.4368e-05  6.94e-02  6.67e-02  1.876e-03
    213465    35.00  2.2280e-07  2.8068e-11 7937.8174  1.084e+05  3.0917e-10  2.5699e-14   37.96   46.74  -0.6041  4.5726e-07  1.3915e-05  6.75e-02  6.49e-02  1.785e-03
    219564    36.00  1.9601e-07  2.7358e-11 7164.5853  1.024e+05  2.6998e-10  2.4204e-14   38.11   47.55  -0.6164  4.4379e-07  1.3478e-05  6.60e-02  6.34e-02  1.696e-03
    225663    37.00  1.7259e-07  2.6697e-11 6464.6319  9.664e+04  2.3617e-10  2.2870e-14   38.23   48.32  -0.6278  4.3095e-07  1.3061e-05  6.47e-02  6.21e-02  1.608e-03
    231762    38.00  1.5209e-07  2.6081e-11 5831.3662  9.104e+04  2.0691e-10  2.1678e-14   38.34   49.05  -0.6383  4.1872e-07  1.2664e-05  6.37e-02  6.11e-02  1.522e-03
    237861    39.00  1.3412e-07  2.5503e-11 5258.7734  8.562e+04  1.8153e-10  2.0608e-14   38.44   49.75  -0.6481  4.0705e-07  1.2287e-05  6.30e-02  6.04e-02  1.449e-03
    243960    40.00  1.1834e-07  2.4959e-11 4741.3441  8.038e+04  1.5944e-10  1.9647e-14   38.53   50.41  -0.6571  3.9592e-07  1.1934e-05  6.25e-02  5.99e-02  1.395e-03
    250059    41.00  1.0447e-07  2.4443e-11 4274.0239  7.532e+04  1.4019e-10  1.8780e-14   38.61   51.02  -0.6655  3.8531e-07  1.1615e-05  6.23e-02  5.96e-02  1.339e-03
    256158    42.00  9.2273e-08  2.3954e-11 3852.1755  7.046e+04  1.2338e-10  1.7994e-14   38.67   51.60  -0.6732  3.7518e-07  1.1338e-05  6.22e-02  5.95e-02  1.280e-03
    262257    43.00  8.1534e-08  2.3486e-11 3471.5483   6.58e+04  1.0867e-10  1.7281e-14   38.74   52.14  -0.6804  3.6551e-07  1.1094e-05  6.23e-02  5.95e-02  1.244e-03
    268356    44.00  7.2071e-08  2.3039e-11 3128.2515  6.134e+04  9.5786e-11  1.6630e-14   38.79   52.64  -0.6870  3.5626e-07  1.0888e-05  6.26e-02  5.97e-02  1.217e-03
    274455    45.00  6.3728e-08  2.2609e-11 2818.7297  5.709e+04  8.4481e-11  1.6034e-14   38.84   53.10  -0.6931  3.4742e-07  1.0707e-05  6.29e-02  6.00e-02  1.186e-03
    280554    46.00  5.6367e-08  2.2194e-11 2539.7401  5.304e+04  7.4552e-11  1.5487e-14   38.89   53.54  -0.6988  3.3895e-07  1.0536e-05  6.33e-02  6.03e-02  1.153e-03
    286653    47.00  4.9869e-08  2.1793e-11 2288.3300   4.92e+04  6.5824e-11  1.4982e-14   38.93   53.94  -0.7040  3.3084e-07  1.0386e-05  6.37e-02  6.07e-02  1.118e-03
    292752    48.00  4.4131e-08  2.1404e-11 2061.8155  4.558e+04  5.8143e-11  1.4514e-14   38.96   54.31  -0.7088  3.2306e-07  1.0241e-05  6.42e-02  6.11e-02  1.083e-03
    298851    49.00  3.9062e-08  2.1026e-11 1857.7607  4.215e+04  5.1379e-11  1.4080e-14   38.99   54.65  -0.7133  3.1559e-07  1.0104e-05  6.47e-02  6.15e-02  1.047e-03
    304950    50.00  3.4581e-08  2.0658e-11 1673.9580  3.893e+04  4.5418e-11  1.3675e-14   39.02   54.97  -0.7174  3.0842e-07  9.9701e-06  6.51e-02  6.19e-02  1.012e-03

  initial total energy 1.2501e-03;  dmass -1.548e-10
  wrote 100 binary frames to /private/tmp/claude-501/-Users-alessandroderosis-Desktop-M3LB/56e432e9-a8bd-47c9-9499-eb0a7a144db3/scratchpad/camp/frames
