Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 96   R 38.40 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 7.680000e-03   eta 7.680000e-03   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 2.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 1536 steps; running 3072 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
     828  0.539  8.557e-05  2.127e-04    0.402  0.0455 2.070e-05 5.060e-05  -0.0113 4.26e-04 1.71e-01 2.77e-01  0.0013  0.982 -6.71e-09
     840  0.547  8.359e-05  2.084e-04    0.401  0.0458 2.011e-05 4.911e-05  -0.0132 4.30e-04 1.69e-01 2.78e-01  0.0013  0.984 -6.59e-09
     852  0.555  8.165e-05  2.042e-04    0.400  0.0462 1.953e-05 4.768e-05  -0.0150 4.35e-04 1.65e-01 2.80e-01  0.0013  0.987 -6.75e-09
     864  0.562  7.977e-05  2.002e-04    0.398  0.0465 1.897e-05 4.630e-05  -0.0169 4.40e-04 1.62e-01 2.82e-01  0.0013  0.989 -6.67e-09
     876  0.570  7.794e-05  1.963e-04    0.397  0.0467 1.843e-05 4.497e-05  -0.0187 4.44e-04 1.61e-01 2.83e-01  0.0012  0.992 -6.97e-09
     888  0.578  7.616e-05  1.925e-04    0.396  0.0469 1.791e-05 4.369e-05  -0.0205 4.49e-04 1.59e-01 2.85e-01  0.0012  0.994 -6.77e-09
     900  0.586  7.443e-05  1.888e-04    0.394  0.0471 1.740e-05 4.246e-05  -0.0223 4.53e-04 1.57e-01 2.87e-01  0.0012  0.996 -6.69e-09
     912  0.594  7.274e-05  1.852e-04    0.393  0.0472 1.691e-05 4.127e-05  -0.0240 4.58e-04 1.55e-01 2.89e-01  0.0012  0.998 -6.90e-09
     924  0.602  7.109e-05  1.818e-04    0.391  0.0472 1.643e-05 4.013e-05  -0.0257 4.62e-04 1.53e-01 2.90e-01  0.0012  1.000 -6.78e-09
     936  0.609  6.949e-05  1.784e-04    0.390  0.0473 1.597e-05 3.903e-05  -0.0274 4.67e-04 1.51e-01 2.92e-01  0.0012  1.003 -6.84e-09
     948  0.617  6.793e-05  1.751e-04    0.388  0.0472 1.552e-05 3.797e-05  -0.0291 4.71e-04 1.48e-01 2.93e-01  0.0012  1.005 -6.97e-09
     960  0.625  6.640e-05  1.719e-04    0.386  0.0471 1.509e-05 3.694e-05  -0.0308 4.76e-04 1.46e-01 2.95e-01  0.0012  1.007 -6.84e-09
     972  0.633  6.492e-05  1.688e-04    0.384  0.0470 1.467e-05 3.595e-05  -0.0324 4.80e-04 1.43e-01 2.97e-01  0.0012  1.009 -6.59e-09
     984  0.641  6.347e-05  1.658e-04    0.383  0.0468 1.426e-05 3.500e-05  -0.0340 4.84e-04 1.41e-01 2.98e-01  0.0011  1.010 -6.20e-09
     996  0.648  6.206e-05  1.629e-04    0.381  0.0466 1.386e-05 3.408e-05  -0.0356 4.89e-04 1.38e-01 3.00e-01  0.0011  1.012 -5.92e-09
    1008  0.656  6.069e-05  1.601e-04    0.379  0.0464 1.348e-05 3.319e-05  -0.0371 4.93e-04 1.36e-01 3.01e-01  0.0011  1.014 -6.12e-09
    1020  0.664  5.935e-05  1.573e-04    0.377  0.0461 1.311e-05 3.233e-05  -0.0387 4.97e-04 1.34e-01 3.03e-01  0.0011  1.016 -5.81e-09
    1032  0.672  5.805e-05  1.546e-04    0.375  0.0457 1.275e-05 3.150e-05  -0.0402 5.01e-04 1.33e-01 3.05e-01  0.0011  1.018 -5.99e-09
    1044  0.680  5.678e-05  1.520e-04    0.374  0.0454 1.240e-05 3.070e-05  -0.0416 5.05e-04 1.31e-01 3.06e-01  0.0011  1.019 -6.46e-09
    1056  0.687  5.554e-05  1.494e-04    0.372  0.0450 1.206e-05 2.993e-05  -0.0431 5.10e-04 1.28e-01 3.08e-01  0.0011  1.021 -6.46e-09
    1068  0.695  5.433e-05  1.469e-04    0.370  0.0445 1.173e-05 2.918e-05  -0.0445 5.14e-04 1.26e-01 3.09e-01  0.0011  1.023 -6.31e-09
    1080  0.703  5.316e-05  1.445e-04    0.368  0.0440 1.141e-05 2.846e-05  -0.0459 5.18e-04 1.24e-01 3.11e-01  0.0011  1.024 -5.86e-09
    1092  0.711  5.201e-05  1.421e-04    0.366  0.0435 1.110e-05 2.776e-05  -0.0473 5.22e-04 1.21e-01 3.12e-01  0.0011  1.026 -5.45e-09
    1104  0.719  5.090e-05  1.398e-04    0.364  0.0429 1.081e-05 2.708e-05  -0.0487 5.26e-04 1.19e-01 3.13e-01  0.0010  1.028 -5.06e-09
    1116  0.727  4.981e-05  1.375e-04    0.362  0.0424 1.052e-05 2.643e-05  -0.0500 5.30e-04 1.16e-01 3.15e-01  0.0010  1.029 -5.05e-09
    1128  0.734  4.876e-05  1.353e-04    0.360  0.0417 1.024e-05 2.580e-05  -0.0513 5.34e-04 1.14e-01 3.16e-01  0.0010  1.031 -5.02e-09
    1140  0.742  4.773e-05  1.332e-04    0.358  0.0411 9.966e-06 2.518e-05  -0.0526 5.38e-04 1.11e-01 3.18e-01  0.0010  1.032 -5.01e-09
    1152  0.750  4.673e-05  1.311e-04    0.357  0.0404 9.704e-06 2.459e-05  -0.0539 5.42e-04 1.09e-01 3.19e-01  0.0010  1.034 -4.50e-09
    1164  0.758  4.576e-05  1.290e-04    0.355  0.0397 9.451e-06 2.401e-05  -0.0551 5.46e-04 1.06e-01 3.20e-01  0.0010  1.035 -4.26e-09
    1176  0.766  4.481e-05  1.270e-04    0.353  0.0390 9.205e-06 2.346e-05  -0.0564 5.50e-04 1.04e-01 3.22e-01  0.0010  1.036 -4.38e-09
    1188  0.773  4.389e-05  1.250e-04    0.351  0.0383 8.967e-06 2.292e-05  -0.0576 5.53e-04 1.02e-01 3.23e-01  0.0010  1.038 -4.60e-09
    1200  0.781  4.299e-05  1.231e-04    0.349  0.0375 8.737e-06 2.239e-05  -0.0588 5.57e-04 1.01e-01 3.25e-01  0.0010  1.039 -4.45e-09
    1212  0.789  4.212e-05  1.212e-04    0.347  0.0368 8.515e-06 2.188e-05  -0.0599 5.61e-04 9.96e-02 3.26e-01  0.0010  1.041 -4.44e-09
    1224  0.797  4.127e-05  1.194e-04    0.346  0.0360 8.299e-06 2.139e-05  -0.0611 5.65e-04 9.82e-02 3.27e-01  0.0010  1.042 -4.56e-09
    1236  0.805  4.045e-05  1.176e-04    0.344  0.0352 8.091e-06 2.091e-05  -0.0622 5.68e-04 9.67e-02 3.28e-01  0.0010  1.043 -4.36e-09
    1248  0.812  3.964e-05  1.159e-04    0.342  0.0344 7.889e-06 2.045e-05  -0.0634 5.72e-04 9.51e-02 3.30e-01  0.0010  1.045 -4.44e-09
    1260  0.820  3.886e-05  1.141e-04    0.340  0.0336 7.694e-06 1.999e-05  -0.0645 5.76e-04 9.36e-02 3.31e-01  0.0010  1.046 -4.05e-09
    1272  0.828  3.810e-05  1.125e-04    0.339  0.0328 7.505e-06 1.956e-05  -0.0656 5.79e-04 9.19e-02 3.32e-01  0.0010  1.047 -4.11e-09
    1284  0.836  3.736e-05  1.108e-04    0.337  0.0320 7.322e-06 1.913e-05  -0.0666 5.83e-04 9.03e-02 3.34e-01  0.0009  1.049 -3.86e-09
    1296  0.844  3.664e-05  1.092e-04    0.336  0.0312 7.144e-06 1.871e-05  -0.0677 5.86e-04 8.86e-02 3.35e-01  0.0009  1.050 -4.18e-09
    1308  0.852  3.594e-05  1.076e-04    0.334  0.0304 6.972e-06 1.831e-05  -0.0687 5.90e-04 8.70e-02 3.36e-01  0.0009  1.051 -4.00e-09
    1320  0.859  3.526e-05  1.061e-04    0.332  0.0296 6.806e-06 1.792e-05  -0.0697 5.93e-04 8.57e-02 3.37e-01  0.0009  1.052 -4.31e-09
    1332  0.867  3.459e-05  1.046e-04    0.331  0.0288 6.645e-06 1.753e-05  -0.0707 5.97e-04 8.43e-02 3.39e-01  0.0009  1.054 -4.31e-09
    1344  0.875  3.395e-05  1.031e-04    0.329  0.0281 6.489e-06 1.716e-05  -0.0717 6.00e-04 8.31e-02 3.40e-01  0.0009  1.055 -4.30e-09
