Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
  N 128   R 51.20 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
  nu 1.024000e-02   eta 1.024000e-02   magnetic wall: perfectly conducting (B.n = 0)
  eps 2.00 / 4.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
  one turnover 2R/u0 = 2048 steps; running 4096 (2.0 turnovers)

   step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
       0  0.000  1.250e-03  1.250e-03    1.000 -0.0000 5.231e-05 9.607e-05   0.0400 1.58e-12 1.29e-01 2.30e-07  0.5064  0.913  0.00e+00
     688  0.336  1.594e-04  3.889e-04    0.410  0.0342 2.426e-05 6.654e-05   0.0300 3.34e-04 2.20e-01 2.28e-01  0.0057  0.929 -4.21e-09
     704  0.344  1.547e-04  3.786e-04    0.409  0.0347 2.348e-05 6.409e-05   0.0288 3.39e-04 2.18e-01 2.30e-01  0.0057  0.932 -3.99e-09
     720  0.352  1.502e-04  3.686e-04    0.407  0.0353 2.273e-05 6.174e-05   0.0275 3.44e-04 2.16e-01 2.32e-01  0.0056  0.936 -3.89e-09
     736  0.359  1.459e-04  3.591e-04    0.406  0.0359 2.200e-05 5.949e-05   0.0261 3.49e-04 2.14e-01 2.33e-01  0.0056  0.939 -4.06e-09
     752  0.367  1.418e-04  3.499e-04    0.405  0.0365 2.130e-05 5.733e-05   0.0246 3.54e-04 2.11e-01 2.35e-01  0.0055  0.942 -4.36e-09
     768  0.375  1.378e-04  3.410e-04    0.404  0.0372 2.062e-05 5.527e-05   0.0231 3.59e-04 2.08e-01 2.37e-01  0.0054  0.945 -4.40e-09
     784  0.383  1.340e-04  3.325e-04    0.403  0.0379 1.997e-05 5.329e-05   0.0214 3.64e-04 2.04e-01 2.39e-01  0.0054  0.948 -4.30e-09
     800  0.391  1.303e-04  3.242e-04    0.402  0.0385 1.934e-05 5.140e-05   0.0197 3.69e-04 2.00e-01 2.41e-01  0.0053  0.951 -4.21e-09
     816  0.398  1.268e-04  3.162e-04    0.401  0.0392 1.873e-05 4.958e-05   0.0179 3.75e-04 1.96e-01 2.43e-01  0.0052  0.955 -3.94e-09
     832  0.406  1.234e-04  3.086e-04    0.400  0.0398 1.815e-05 4.785e-05   0.0161 3.80e-04 1.92e-01 2.45e-01  0.0052  0.958 -4.14e-09
