# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
848 0.552083 8.22970832e-05 2.05685638e-04 0.400111 0.046335 1.972332e-05 4.817207e-05 -0.014813 4.326758e-04 1.664557e-01 2.794204e-01 0.001269 0.986357 1.147909e-06
864 0.562500 7.97766392e-05 2.00278965e-04 0.398328 0.046743 1.897390e-05 4.632059e-05 -0.017274 4.388607e-04 1.619451e-01 2.817202e-01 0.001253 0.989566 1.197104e-06
880 0.572917 7.73463765e-05 1.95089596e-04 0.396466 0.047070 1.825630e-05 4.456105e-05 -0.019701 4.449904e-04 1.598051e-01 2.839972e-01 0.001228 0.992681 1.243326e-06
896 0.583333 7.50015644e-05 1.90105597e-04 0.394526 0.047312 1.756871e-05 4.288780e-05 -0.022092 4.510710e-04 1.574578e-01 2.862517e-01 0.001222 0.995712 1.288610e-06
912 0.593750 7.27379631e-05 1.85315632e-04 0.392509 0.047468 1.690948e-05 4.129553e-05 -0.024443 4.571070e-04 1.548276e-01 2.884841e-01 0.001188 0.998665 1.332968e-06
928 0.604167 7.05518688e-05 1.80709420e-04 0.390416 0.047539 1.627719e-05 3.977949e-05 -0.026754 4.630979e-04 1.519332e-01 2.906943e-01 0.001172 1.001537 1.374683e-06
944 0.614583 6.84401280e-05 1.76277869e-04 0.388251 0.047526 1.567064e-05 3.833557e-05 -0.029022 4.690396e-04 1.487940e-01 2.928813e-01 0.001160 1.004322 1.412056e-06
960 0.625000 6.63998281e-05 1.72012578e-04 0.386017 0.047432 1.508867e-05 3.695999e-05 -0.031248 4.749299e-04 1.454332e-01 2.950439e-01 0.001157 1.007021 1.445241e-06
976 0.635417 6.44282239e-05 1.67905250e-04 0.383718 0.047257 1.453014e-05 3.564907e-05 -0.033430 4.807701e-04 1.418789e-01 2.971814e-01 0.001138 1.009642 1.476033e-06
992 0.645833 6.25228831e-05 1.63947642e-04 0.381359 0.047006 1.399399e-05 3.439915e-05 -0.035567 4.865623e-04 1.384558e-01 2.992939e-01 0.001119 1.012193 1.505972e-06
1008 0.656250 6.06816673e-05 1.60131871e-04 0.378948 0.046680 1.347932e-05 3.320677e-05 -0.037657 4.923067e-04 1.362673e-01 3.013813e-01 0.001106 1.014678 1.535156e-06
1024 0.666667 5.89026814e-05 1.56450686e-04 0.376494 0.046280 1.298539e-05 3.206874e-05 -0.039701 4.980020e-04 1.338497e-01 3.034436e-01 0.001093 1.017099 1.562573e-06
1040 0.677083 5.71842355e-05 1.52897556e-04 0.374004 0.045810 1.251152e-05 3.098216e-05 -0.041699 5.036458e-04 1.312168e-01 3.054801e-01 0.001083 1.019453 1.587212e-06
1056 0.687500 5.55246889e-05 1.49466494e-04 0.371486 0.045270 1.205707e-05 2.994436e-05 -0.043653 5.092359e-04 1.283870e-01 3.074904e-01 0.001081 1.021741 1.608988e-06
1072 0.697917 5.39223755e-05 1.46151688e-04 0.368948 0.044665 1.162136e-05 2.895274e-05 -0.045564 5.147713e-04 1.253819e-01 3.094743e-01 0.001064 1.023973 1.628847e-06
1088 0.708333 5.23756621e-05 1.42947340e-04 0.366398 0.043996 1.120372e-05 2.800474e-05 -0.047432 5.202522e-04 1.222264e-01 3.114322e-01 0.001051 1.026154 1.647883e-06
1104 0.718750 5.08829500e-05 1.39847871e-04 0.363845 0.043267 1.080349e-05 2.709790e-05 -0.049259 5.256796e-04 1.189468e-01 3.133648e-01 0.001038 1.028289 1.666361e-06
1120 0.729167 4.94426666e-05 1.36848164e-04 0.361296 0.042483 1.042008e-05 2.622995e-05 -0.051046 5.310531e-04 1.155700e-01 3.152727e-01 0.001026 1.030380 1.683672e-06
1136 0.739583 4.80532764e-05 1.33943588e-04 0.358758 0.041647 1.005290e-05 2.539879e-05 -0.052797 5.363715e-04 1.121229e-01 3.171563e-01 0.001015 1.032428 1.699125e-06
1152 0.750000 4.67132403e-05 1.31129862e-04 0.356236 0.040763 9.701336e-06 2.460247e-05 -0.054512 5.416336e-04 1.086318e-01 3.190162e-01 0.001003 1.034435 1.712619e-06
1168 0.760417 4.54209803e-05 1.28402894e-04 0.353738 0.039839 9.364774e-06 2.383914e-05 -0.056192 5.468392e-04 1.051216e-01 3.208532e-01 0.000992 1.036404 1.724686e-06
1184 0.770833 4.41749123e-05 1.25758695e-04 0.351267 0.038878 9.042587e-06 2.310699e-05 -0.057839 5.519891e-04 1.027157e-01 3.226684e-01 0.000978 1.038341 1.736010e-06
1200 0.781250 4.29734776e-05 1.23193443e-04 0.348829 0.037887 8.734162e-06 2.240427e-05 -0.059453 5.570844e-04 1.008184e-01 3.244632e-01 0.000966 1.040249 1.746868e-06
1216 0.791667 4.18151507e-05 1.20703602e-04 0.346428 0.036872 8.438911e-06 2.172936e-05 -0.061034 5.621254e-04 9.894189e-02 3.262392e-01 0.000956 1.042129 1.756969e-06
1232 0.802083 4.06984427e-05 1.18285971e-04 0.344068 0.035838 8.156268e-06 2.108075e-05 -0.062583 5.671117e-04 9.696341e-02 3.279977e-01 0.000950 1.043981 1.765843e-06
1248 0.812500 3.96218854e-05 1.15937602e-04 0.341752 0.034791 7.885674e-06 2.045707e-05 -0.064100 5.720429e-04 9.489540e-02 3.297402e-01 0.000946 1.045807 1.773360e-06
1264 0.822917 3.85840162e-05 1.13655707e-04 0.339482 0.033736 7.626576e-06 1.985700e-05 -0.065584 5.769194e-04 9.275131e-02 3.314680e-01 0.000948 1.047609 1.779828e-06
1280 0.833333 3.75833894e-05 1.11437603e-04 0.337259 0.032679 7.378431e-06 1.927929e-05 -0.067035 5.817420e-04 9.054523e-02 3.331828e-01 0.000933 1.049391 1.785696e-06
1296 0.843750 3.66185945e-05 1.09280728e-04 0.335087 0.031625 7.140714e-06 1.872276e-05 -0.068452 5.865114e-04 8.829133e-02 3.348862e-01 0.000919 1.051156 1.791175e-06
1312 0.854167 3.56882628e-05 1.07182687e-04 0.332967 0.030577 6.912928e-06 1.818632e-05 -0.069834 5.912280e-04 8.630590e-02 3.365798e-01 0.000909 1.052902 1.796136e-06
1328 0.864583 3.47910680e-05 1.05141292e-04 0.330898 0.029541 6.694599e-06 1.766896e-05 -0.071180 5.958922e-04 8.448051e-02 3.382650e-01 0.000901 1.054631 1.800294e-06
1344 0.875000 3.39257184e-05 1.03154531e-04 0.328882 0.028518 6.485272e-06 1.716977e-05 -0.072490 6.005042e-04 8.297995e-02 3.399430e-01 0.000895 1.056342 1.803523e-06
1360 0.885417 3.30909484e-05 1.01220504e-04 0.326919 0.027514 6.284508e-06 1.668789e-05 -0.073763 6.050643e-04 8.165591e-02 3.416149e-01 0.000894 1.058036 1.805983e-06
1376 0.895833 3.22855245e-05 9.93373723e-05 0.325009 0.026532 6.091884e-06 1.622252e-05 -0.074999 6.095734e-04 8.028239e-02 3.432817e-01 0.000890 1.059716 1.807966e-06
1392 0.906250 3.15082530e-05 9.75033649e-05 0.323150 0.025574 5.906995e-06 1.577292e-05 -0.076196 6.140321e-04 7.886549e-02 3.449443e-01 0.000880 1.061383 1.809640e-06
1408 0.916667 3.07579832e-05 9.57168132e-05 0.321344 0.024643 5.729464e-06 1.533836e-05 -0.077354 6.184413e-04 7.741139e-02 3.466037e-01 0.000871 1.063038 1.810948e-06
