# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB Bshell dmass
704 0.458333 8.34734409e-05 1.55056433e-04 0.538342 0.063103 1.792291e-05 4.348796e-05 0.042082 1.843404e-03 1.180149e-01 2.722859e-01 0.227711 0.005049 -1.586637e-06
720 0.468750 8.06004450e-05 1.49468506e-04 0.539247 0.063244 1.713789e-05 4.135075e-05 0.040049 1.853016e-03 1.176455e-01 2.746266e-01 0.228214 0.004978 -1.523473e-06
736 0.479167 7.78589594e-05 1.44168068e-04 0.540057 0.063231 1.639678e-05 3.935485e-05 0.037979 1.862364e-03 1.169895e-01 2.768979e-01 0.228928 0.004910 -1.463489e-06
752 0.489583 7.52386691e-05 1.39139911e-04 0.540741 0.063066 1.569634e-05 3.749003e-05 0.035883 1.871444e-03 1.160468e-01 2.790983e-01 0.229782 0.004842 -1.412844e-06
768 0.500000 7.27296227e-05 1.34368043e-04 0.541272 0.062744 1.503339e-05 3.574599e-05 0.033776 1.880251e-03 1.153543e-01 2.812302e-01 0.230797 0.004773 -1.370877e-06
784 0.510417 7.03222157e-05 1.29835364e-04 0.541626 0.062258 1.440467e-05 3.411231e-05 0.031678 1.888779e-03 1.144777e-01 2.832998e-01 0.231934 0.004705 -1.331482e-06
800 0.520833 6.80091907e-05 1.25525054e-04 0.541798 0.061603 1.380697e-05 3.257889e-05 0.029605 1.897027e-03 1.133161e-01 2.853162e-01 0.233294 0.004640 -1.288021e-06
816 0.531250 6.57843239e-05 1.21422509e-04 0.541780 0.060778 1.323763e-05 3.113685e-05 0.027570 1.904994e-03 1.118795e-01 2.872873e-01 0.234602 0.004578 -1.239790e-06
832 0.541667 6.36418512e-05 1.17515902e-04 0.541559 0.059781 1.269470e-05 2.977911e-05 0.025582 1.912679e-03 1.101812e-01 2.892165e-01 0.235845 0.004518 -1.192596e-06
848 0.552083 6.15775186e-05 1.13794893e-04 0.541127 0.058603 1.217653e-05 2.849969e-05 0.023646 1.920079e-03 1.082399e-01 2.911051e-01 0.237079 0.004458 -1.151799e-06
864 0.562500 5.95875212e-05 1.10249022e-04 0.540481 0.057245 1.168154e-05 2.729288e-05 0.021768 1.927189e-03 1.060801e-01 2.929555e-01 0.238297 0.004398 -1.117209e-06
880 0.572917 5.76680671e-05 1.06867247e-04 0.539623 0.055716 1.120822e-05 2.615298e-05 0.019953 1.934008e-03 1.037285e-01 2.947726e-01 0.239505 0.004338 -1.084684e-06
896 0.583333 5.58163101e-05 1.03638760e-04 0.538566 0.054024 1.075523e-05 2.507465e-05 0.018204 1.940535e-03 1.012127e-01 2.965622e-01 0.240684 0.004279 -1.050318e-06
912 0.593750 5.40299099e-05 1.00554041e-04 0.537322 0.052177 1.032141e-05 2.405315e-05 0.016519 1.946772e-03 9.855970e-02 2.983294e-01 0.241825 0.004223 -1.013324e-06
928 0.604167 5.23066085e-05 9.76051472e-05 0.535900 0.050186 9.905873e-06 2.308450e-05 0.014895 1.952720e-03 9.593700e-02 3.000768e-01 0.242852 0.004168 -9.763985e-07
944 0.614583 5.06446069e-05 9.47850508e-05 0.534310 0.048070 9.507947e-06 2.216533e-05 0.013326 1.958379e-03 9.329144e-02 3.018056e-01 0.243875 0.004113 -9.431392e-07
960 0.625000 4.90422081e-05 9.20867586e-05 0.532565 0.045843 9.126991e-06 2.129252e-05 0.011804 1.963753e-03 9.066173e-02 3.035165e-01 0.244918 0.004058 -9.143719e-07
976 0.635417 4.74975431e-05 8.95030900e-05 0.530680 0.043522 8.762322e-06 2.046300e-05 0.010323 1.968841e-03 8.829892e-02 3.052122e-01 0.246019 0.004004 -8.875816e-07
992 0.645833 4.60089645e-05 8.70270711e-05 0.528674 0.041119 8.413276e-06 1.967379e-05 0.008880 1.973648e-03 8.586538e-02 3.068961e-01 0.247142 0.003951 -8.598958e-07
1008 0.656250 4.45749769e-05 8.46523969e-05 0.526565 0.038649 8.079275e-06 1.892223e-05 0.007468 1.978177e-03 8.337758e-02 3.085708e-01 0.248352 0.003899 -8.306729e-07
1024 0.666667 4.31939990e-05 8.23736065e-05 0.524367 0.036121 7.759823e-06 1.820605e-05 0.006080 1.982434e-03 8.085146e-02 3.102376e-01 0.249541 0.003849 -8.014966e-07
1040 0.677083 4.18645117e-05 8.01858839e-05 0.522093 0.033544 7.454474e-06 1.752331e-05 0.004709 1.986423e-03 7.830231e-02 3.118963e-01 0.250733 0.003800 -7.744783e-07
1056 0.687500 4.05849946e-05 7.80846314e-05 0.519756 0.030927 7.162782e-06 1.687224e-05 0.003348 1.990149e-03 7.574476e-02 3.135462e-01 0.251917 0.003751 -7.504133e-07
1072 0.697917 3.93537971e-05 7.60651843e-05 0.517369 0.028276 6.884264e-06 1.625111e-05 0.001994 1.993617e-03 7.345877e-02 3.151874e-01 0.253110 0.003703 -7.281300e-07
1088 0.708333 3.81692955e-05 7.41229399e-05 0.514946 0.025596 6.618412e-06 1.565823e-05 0.000646 1.996833e-03 7.161666e-02 3.168205e-01 0.254314 0.003657 -7.057076e-07
1104 0.718750 3.70299099e-05 7.22536925e-05 0.512499 0.022895 6.364726e-06 1.509204e-05 -0.000700 1.999804e-03 6.968896e-02 3.184460e-01 0.255480 0.003612 -6.823798e-07
1120 0.729167 3.59340103e-05 7.04537704e-05 0.510037 0.020179 6.122738e-06 1.455119e-05 -0.002046 2.002536e-03 6.770521e-02 3.200633e-01 0.256573 0.003568 -6.590491e-07
1136 0.739583 3.48799820e-05 6.87198965e-05 0.507567 0.017454 5.891996e-06 1.403443e-05 -0.003394 2.005035e-03 6.569217e-02 3.216713e-01 0.257634 0.003526 -6.371254e-07
1152 0.750000 3.38662339e-05 6.70489526e-05 0.505097 0.014729 5.672039e-06 1.354064e-05 -0.004744 2.007310e-03 6.367380e-02 3.232685e-01 0.258677 0.003484 -6.171926e-07
1168 0.760417 3.28911391e-05 6.54378256e-05 0.502632 0.012009 5.462390e-06 1.306867e-05 -0.006095 2.009366e-03 6.167097e-02 3.248542e-01 0.259692 0.003443 -5.986448e-07
1184 0.770833 3.19530933e-05 6.38834371e-05 0.500178 0.009304 5.262559e-06 1.261740e-05 -0.007446 2.011210e-03 6.016146e-02 3.264282e-01 0.260754 0.003403 -5.803369e-07
1200 0.781250 3.10505558e-05 6.23829146e-05 0.497741 0.006622 5.072066e-06 1.218577e-05 -0.008797 2.012850e-03 5.883627e-02 3.279906e-01 0.261836 0.003365 -5.616259e-07
1216 0.791667 3.01820142e-05 6.09337090e-05 0.495325 0.003970 4.890448e-06 1.177277e-05 -0.010145 2.014292e-03 5.750802e-02 3.295414e-01 0.262899 0.003327 -5.428950e-07
1232 0.802083 2.93459967e-05 5.95335317e-05 0.492932 0.001352 4.717266e-06 1.137749e-05 -0.011489 2.015544e-03 5.618654e-02 3.310802e-01 0.263905 0.003291 -5.250568e-07
1248 0.812500 2.85410829e-05 5.81802024e-05 0.490563 -0.001223 4.552090e-06 1.099905e-05 -0.012830 2.016612e-03 5.488026e-02 3.326066e-01 0.264858 0.003255 -5.086054e-07
1264 0.822917 2.77658851e-05 5.68715629e-05 0.488221 -0.003753 4.394496e-06 1.063661e-05 -0.014164 2.017503e-03 5.359608e-02 3.341207e-01 0.265805 0.003220 -4.932223e-07
1280 0.833333 2.70190669e-05 5.56055018e-05 0.485906 -0.006232 4.244071e-06 1.028933e-05 -0.015490 2.018224e-03 5.233954e-02 3.356233e-01 0.266735 0.003186 -4.781842e-07
1296 0.843750 2.62993615e-05 5.43800330e-05 0.483622 -0.008659 4.100417e-06 9.956414e-06 -0.016807 2.018781e-03 5.111506e-02 3.371154e-01 0.267641 0.003153 -4.630349e-07
1312 0.854167 2.56055570e-05 5.31933546e-05 0.481368 -0.011031 3.963159e-06 9.637100e-06 -0.018114 2.019180e-03 4.992622e-02 3.385978e-01 0.268493 0.003121 -4.479211e-07
1328 0.864583 2.49364961e-05 5.20438360e-05 0.479144 -0.013346 3.831949e-06 9.330701e-06 -0.019410 2.019429e-03 4.877587e-02 3.400713e-01 0.269306 0.003090 -4.333757e-07
1344 0.875000 2.42910777e-05 5.09299441e-05 0.476951 -0.015604 3.706458e-06 9.036568e-06 -0.020696 2.019532e-03 4.766614e-02 3.415365e-01 0.270110 0.003059 -4.197764e-07
1360 0.885417 2.36682474e-05 4.98501796e-05 0.474788 -0.017802 3.586369e-06 8.754081e-06 -0.021972 2.019496e-03 4.659849e-02 3.429944e-01 0.270915 0.003029 -4.070009e-07
1376 0.895833 2.30670019e-05 4.88030757e-05 0.472655 -0.019939 3.471382e-06 8.482639e-06 -0.023236 2.019326e-03 4.560562e-02 3.444460e-01 0.271705 0.002999 -3.945934e-07
