# step t/Te E_u E_b ratio H_c enstrophy j2 cosJB bmean bmax divb BnB dmass
1888 1.843750 4.62264579e-06 3.46927519e-05 0.133245 -0.063122 6.030972e-07 2.921889e-06 0.221421 2.358777e-03 2.082998e-02 4.233532e-01 0.001260 1.569660e-06
1920 1.875000 4.37413121e-06 3.38532992e-05 0.129208 -0.061927 5.682411e-07 2.809210e-06 0.221556 2.377152e-03 2.057497e-02 4.238838e-01 0.001232 1.547912e-06
1952 1.906250 4.14148383e-06 3.30532504e-05 0.125297 -0.060706 5.358146e-07 2.702870e-06 0.221713 2.395250e-03 2.032722e-02 4.244085e-01 0.001212 1.526667e-06
1984 1.937500 3.92352597e-06 3.22903589e-05 0.121508 -0.059457 5.056231e-07 2.602428e-06 0.221888 2.413076e-03 2.008638e-02 4.249299e-01 0.001182 1.505919e-06
2016 1.968750 3.71918112e-06 3.15625268e-05 0.117835 -0.058182 4.774899e-07 2.507479e-06 0.222076 2.430635e-03 1.985214e-02 4.254507e-01 0.001158 1.485656e-06
2048 2.000000 3.52746417e-06 3.08677936e-05 0.114277 -0.056880 4.512537e-07 2.417650e-06 0.222270 2.447931e-03 1.962421e-02 4.259735e-01 0.001138 1.465871e-06
2080 2.031250 3.34747267e-06 3.02043257e-05 0.110828 -0.055552 4.267680e-07 2.332598e-06 0.222465 2.464969e-03 1.940229e-02 4.265006e-01 0.001120 1.446553e-06
2112 2.062500 3.17837902e-06 2.95704075e-05 0.107485 -0.054200 4.038987e-07 2.252005e-06 0.222658 2.481753e-03 1.918615e-02 4.270344e-01 0.001106 1.427693e-06
2144 2.093750 3.01942340e-06 2.89644321e-05 0.104246 -0.052823 3.825236e-07 2.175580e-06 0.222842 2.498289e-03 1.897553e-02 4.275770e-01 0.001091 1.409281e-06
2176 2.125000 2.86990751e-06 2.83848942e-05 0.101107 -0.051424 3.625309e-07 2.103052e-06 0.223014 2.514579e-03 1.877020e-02 4.281305e-01 0.001068 1.391307e-06
2208 2.156250 2.72918886e-06 2.78303823e-05 0.098065 -0.050003 3.438182e-07 2.034171e-06 0.223169 2.530627e-03 1.857860e-02 4.286967e-01 0.001056 1.373760e-06
2240 2.187500 2.59667571e-06 2.72995724e-05 0.095118 -0.048561 3.262918e-07 1.968706e-06 0.223303 2.546438e-03 1.839548e-02 4.292774e-01 0.001036 1.356631e-06
2272 2.218750 2.47182251e-06 2.67912216e-05 0.092262 -0.047101 3.098655e-07 1.906445e-06 0.223412 2.562015e-03 1.821652e-02 4.298744e-01 0.001018 1.339909e-06
2304 2.250000 2.35412574e-06 2.63041627e-05 0.089496 -0.045623 2.944605e-07 1.847188e-06 0.223493 2.577362e-03 1.804156e-02 4.304889e-01 0.001003 1.323585e-06
2336 2.281250 2.24312023e-06 2.58372991e-05 0.086817 -0.044130 2.800040e-07 1.790752e-06 0.223543 2.592482e-03 1.787043e-02 4.311225e-01 0.000989 1.307648e-06
2368 2.312500 2.13837580e-06 2.53895996e-05 0.084223 -0.042624 2.664293e-07 1.736967e-06 0.223558 2.607378e-03 1.770299e-02 4.317765e-01 0.000978 1.292090e-06
2400 2.343750 2.03949428e-06 2.49600944e-05 0.081710 -0.041106 2.536749e-07 1.685674e-06 0.223536 2.622055e-03 1.753909e-02 4.324518e-01 0.000967 1.276899e-06
2432 2.375000 1.94610670e-06 2.45478707e-05 0.079278 -0.039578 2.416840e-07 1.636727e-06 0.223475 2.636515e-03 1.737860e-02 4.331495e-01 0.000957 1.262067e-06
2464 2.406250 1.85787091e-06 2.41520690e-05 0.076924 -0.038043 2.304044e-07 1.589989e-06 0.223373 2.650761e-03 1.722140e-02 4.338706e-01 0.000949 1.247585e-06
2496 2.437500 1.77446931e-06 2.37718797e-05 0.074646 -0.036503 2.197878e-07 1.545333e-06 0.223227 2.664796e-03 1.706736e-02 4.346157e-01 0.000941 1.233443e-06
2528 2.468750 1.69560681e-06 2.34065397e-05 0.072442 -0.034960 2.097896e-07 1.502640e-06 0.223036 2.678625e-03 1.691637e-02 4.353856e-01 0.000936 1.219632e-06
2560 2.500000 1.62100901e-06 2.30553294e-05 0.070310 -0.033415 2.003686e-07 1.461801e-06 0.222800 2.692249e-03 1.676834e-02 4.361808e-01 0.000950 1.206144e-06
2592 2.531250 1.55042054e-06 2.27175700e-05 0.068248 -0.031873 1.914865e-07 1.422711e-06 0.222516 2.705671e-03 1.662314e-02 4.370018e-01 0.000953 1.192970e-06
2624 2.562500 1.48360355e-06 2.23926208e-05 0.066254 -0.030334 1.831081e-07 1.385275e-06 0.222185 2.718895e-03 1.648070e-02 4.378490e-01 0.000920 1.180102e-06
2656 2.593750 1.42033629e-06 2.20798767e-05 0.064327 -0.028800 1.752006e-07 1.349404e-06 0.221806 2.731923e-03 1.634092e-02 4.387225e-01 0.000907 1.167532e-06
2688 2.625000 1.36041191e-06 2.17787660e-05 0.062465 -0.027275 1.677337e-07 1.315012e-06 0.221378 2.744759e-03 1.620371e-02 4.396227e-01 0.000899 1.155251e-06
2720 2.656250 1.30363727e-06 2.14887487e-05 0.060666 -0.025761 1.606791e-07 1.282022e-06 0.220901 2.757404e-03 1.606899e-02 4.405497e-01 0.000893 1.143252e-06
2752 2.687500 1.24983194e-06 2.12093137e-05 0.058928 -0.024259 1.540108e-07 1.250361e-06 0.220376 2.769862e-03 1.593669e-02 4.415035e-01 0.000885 1.131528e-06
2784 2.718750 1.19882718e-06 2.09399778e-05 0.057251 -0.022771 1.477045e-07 1.219958e-06 0.219803 2.782135e-03 1.580673e-02 4.424841e-01 0.000879 1.120070e-06
2816 2.750000 1.15046515e-06 2.06802836e-05 0.055631 -0.021300 1.417375e-07 1.190750e-06 0.219181 2.794226e-03 1.567903e-02 4.434915e-01 0.000882 1.108873e-06
2848 2.781250 1.10459806e-06 2.04297979e-05 0.054068 -0.019849 1.360889e-07 1.162676e-06 0.218513 2.806138e-03 1.555354e-02 4.445255e-01 0.000863 1.097929e-06
2880 2.812500 1.06108743e-06 2.01881104e-05 0.052560 -0.018417 1.307392e-07 1.135679e-06 0.217798 2.817873e-03 1.543019e-02 4.455859e-01 0.000856 1.087231e-06
2912 2.843750 1.01980348e-06 1.99548323e-05 0.051106 -0.017009 1.256701e-07 1.109705e-06 0.217038 2.829433e-03 1.530892e-02 4.466725e-01 0.000850 1.076772e-06
2944 2.875000 9.80624438e-07 1.97295949e-05 0.049703 -0.015625 1.208647e-07 1.084705e-06 0.216234 2.840822e-03 1.518967e-02 4.477850e-01 0.000845 1.066547e-06
2976 2.906250 9.43436037e-07 1.95120484e-05 0.048351 -0.014267 1.163072e-07 1.060631e-06 0.215386 2.852041e-03 1.509172e-02 4.489233e-01 0.000841 1.056549e-06
3008 2.937500 9.08130961e-07 1.93018609e-05 0.047049 -0.012937 1.119829e-07 1.037438e-06 0.214496 2.863093e-03 1.503431e-02 4.500868e-01 0.000837 1.046771e-06
