# Confined decaying MHD in a SPHERE, volume-penalised   CUDA twin
# precision FP32   D3Q27 fluid + D3Q7 magnetic   operator CM
# N 224   R 89.60 (rfac 0.40)   Re 500   Pm 1.00   u0 0.0500
# nu 1.792000e-02   eta 1.792000e-02   magnetic wall: INSULATING (B = 0)
# eps 2.00 / 2.00   smooth 1.00   IC kmax 6  k0 4.0  seed 99
# one turnover 2R/u0 = 3584 steps; running 7168 (2.0 turnovers)
#
# step   t/Te      E_u        E_b      E_u/E_b   H_c    enstr     <j^2>    cos(J,B)  |<b>|    max|b|   dv/cl    Bn/B   B_sh   dmass
1456  0.406  1.106e-04  2.107e-04    0.525  0.0528 5.254e-06 1.291e-05   0.0419 1.60e-03 1.34e-01 2.55e-01  0.2413  0.009 -1.50e-06
1484  0.414  1.075e-04  2.045e-04    0.525  0.0535 5.056e-06 1.238e-05   0.0408 1.61e-03 1.29e-01 2.57e-01  0.2410  0.009 -1.55e-06
1512  0.422  1.044e-04  1.986e-04    0.526  0.0542 4.868e-06 1.187e-05   0.0397 1.62e-03 1.25e-01 2.59e-01  0.2410  0.009 -1.61e-06
1540  0.430  1.015e-04  1.930e-04    0.526  0.0549 4.691e-06 1.140e-05   0.0385 1.63e-03 1.20e-01 2.61e-01  0.2414  0.009 -1.67e-06
1568  0.438  9.877e-05  1.875e-04    0.527  0.0556 4.522e-06 1.095e-05   0.0372 1.64e-03 1.16e-01 2.63e-01  0.2418  0.009 -1.73e-06
1596  0.445  9.610e-05  1.823e-04    0.527  0.0562 4.362e-06 1.053e-05   0.0359 1.65e-03 1.16e-01 2.64e-01  0.2418  0.009 -1.80e-06
1624  0.453  9.353e-05  1.773e-04    0.527  0.0568 4.209e-06 1.012e-05   0.0345 1.65e-03 1.16e-01 2.66e-01  0.2418  0.008 -1.86e-06
1652  0.461  9.106e-05  1.725e-04    0.528  0.0574 4.063e-06 9.741e-06   0.0331 1.66e-03 1.16e-01 2.68e-01  0.2417  0.008 -1.93e-06
1680  0.469  8.867e-05  1.679e-04    0.528  0.0578 3.924e-06 9.378e-06   0.0317 1.67e-03 1.16e-01 2.69e-01  0.2418  0.008 -1.99e-06
1708  0.477  8.636e-05  1.634e-04    0.528  0.0581 3.792e-06 9.033e-06   0.0302 1.68e-03 1.16e-01 2.71e-01  0.2420  0.008 -2.06e-06
1736  0.484  8.413e-05  1.591e-04    0.529  0.0583 3.665e-06 8.705e-06   0.0287 1.68e-03 1.16e-01 2.73e-01  0.2424  0.008 -2.13e-06
1764  0.492  8.198e-05  1.550e-04    0.529  0.0586 3.543e-06 8.393e-06   0.0272 1.69e-03 1.16e-01 2.74e-01  0.2429  0.008 -2.19e-06
1792  0.500  7.990e-05  1.511e-04    0.529  0.0587 3.427e-06 8.096e-06   0.0257 1.70e-03 1.15e-01 2.76e-01  0.2435  0.008 -2.26e-06
1820  0.508  7.787e-05  1.473e-04    0.529  0.0589 3.316e-06 7.812e-06   0.0242 1.71e-03 1.15e-01 2.77e-01  0.2441  0.008 -2.34e-06
1848  0.516  7.591e-05  1.436e-04    0.529  0.0589 3.209e-06 7.542e-06   0.0227 1.72e-03 1.14e-01 2.79e-01  0.2445  0.008 -2.41e-06
1876  0.523  7.401e-05  1.401e-04    0.528  0.0589 3.106e-06 7.283e-06   0.0213 1.72e-03 1.13e-01 2.80e-01  0.2449  0.008 -2.48e-06
1904  0.531  7.216e-05  1.366e-04    0.528  0.0588 3.006e-06 7.036e-06   0.0198 1.73e-03 1.13e-01 2.82e-01  0.2454  0.008 -2.56e-06
1932  0.539  7.036e-05  1.334e-04    0.528  0.0587 2.911e-06 6.798e-06   0.0184 1.74e-03 1.12e-01 2.83e-01  0.2461  0.008 -2.63e-06
1960  0.547  6.862e-05  1.302e-04    0.527  0.0583 2.818e-06 6.571e-06   0.0169 1.74e-03 1.11e-01 2.85e-01  0.2470  0.008 -2.71e-06
1988  0.555  6.692e-05  1.271e-04    0.526  0.0577 2.729e-06 6.353e-06   0.0156 1.75e-03 1.10e-01 2.86e-01  0.2479  0.008 -2.78e-06
2016  0.562  6.527e-05  1.242e-04    0.526  0.0570 2.642e-06 6.144e-06   0.0142 1.76e-03 1.08e-01 2.88e-01  0.2488  0.008 -2.86e-06
2044  0.570  6.366e-05  1.213e-04    0.525  0.0562 2.559e-06 5.943e-06   0.0129 1.77e-03 1.07e-01 2.89e-01  0.2498  0.007 -2.94e-06
2072  0.578  6.210e-05  1.186e-04    0.524  0.0553 2.477e-06 5.750e-06   0.0117 1.77e-03 1.06e-01 2.90e-01  0.2507  0.007 -3.02e-06
2100  0.586  6.059e-05  1.159e-04    0.523  0.0543 2.399e-06 5.565e-06   0.0104 1.78e-03 1.04e-01 2.92e-01  0.2516  0.007 -3.10e-06
2128  0.594  5.911e-05  1.133e-04    0.522  0.0532 2.322e-06 5.386e-06   0.0093 1.79e-03 1.03e-01 2.93e-01  0.2524  0.007 -3.18e-06
2156  0.602  5.768e-05  1.108e-04    0.520  0.0522 2.248e-06 5.215e-06   0.0081 1.79e-03 1.01e-01 2.95e-01  0.2534  0.007 -3.26e-06
2184  0.609  5.628e-05  1.084e-04    0.519  0.0511 2.177e-06 5.049e-06   0.0070 1.80e-03 9.93e-02 2.96e-01  0.2546  0.007 -3.34e-06
2212  0.617  5.493e-05  1.061e-04    0.518  0.0501 2.108e-06 4.890e-06   0.0060 1.80e-03 9.75e-02 2.98e-01  0.2558  0.007 -3.42e-06
2240  0.625  5.361e-05  1.038e-04    0.516  0.0490 2.041e-06 4.738e-06   0.0050 1.81e-03 9.56e-02 2.99e-01  0.2570  0.007 -3.50e-06
2268  0.633  5.233e-05  1.016e-04    0.515  0.0478 1.977e-06 4.590e-06   0.0040 1.82e-03 9.36e-02 3.01e-01  0.2581  0.007 -3.59e-06
2296  0.641  5.109e-05  9.952e-05    0.513  0.0467 1.914e-06 4.449e-06   0.0030 1.82e-03 9.15e-02 3.02e-01  0.2592  0.007 -3.67e-06
2324  0.648  4.988e-05  9.747e-05    0.512  0.0454 1.854e-06 4.312e-06   0.0021 1.83e-03 8.94e-02 3.03e-01  0.2602  0.007 -3.75e-06
2352  0.656  4.870e-05  9.548e-05    0.510  0.0442 1.795e-06 4.181e-06   0.0012 1.83e-03 8.75e-02 3.05e-01  0.2611  0.007 -3.84e-06
2380  0.664  4.756e-05  9.355e-05    0.508  0.0428 1.739e-06 4.054e-06   0.0003 1.84e-03 8.56e-02 3.06e-01  0.2621  0.007 -3.92e-06
2408  0.672  4.646e-05  9.169e-05    0.507  0.0414 1.685e-06 3.932e-06  -0.0005 1.84e-03 8.37e-02 3.08e-01  0.2632  0.007 -4.01e-06
2436  0.680  4.538e-05  8.988e-05    0.505  0.0399 1.632e-06 3.815e-06  -0.0014 1.85e-03 8.17e-02 3.09e-01  0.2643  0.007 -4.10e-06
2464  0.688  4.434e-05  8.812e-05    0.503  0.0384 1.582e-06 3.702e-06  -0.0022 1.85e-03 7.97e-02 3.11e-01  0.2654  0.007 -4.18e-06
2492  0.695  4.333e-05  8.642e-05    0.501  0.0369 1.533e-06 3.593e-06  -0.0030 1.86e-03 7.77e-02 3.12e-01  0.2664  0.006 -4.27e-06
2520  0.703  4.235e-05  8.477e-05    0.500  0.0354 1.486e-06 3.488e-06  -0.0038 1.86e-03 7.56e-02 3.13e-01  0.2672  0.006 -4.36e-06
2548  0.711  4.139e-05  8.316e-05    0.498  0.0338 1.441e-06 3.387e-06  -0.0046 1.87e-03 7.37e-02 3.15e-01  0.2680  0.006 -4.45e-06
2576  0.719  4.047e-05  8.160e-05    0.496  0.0322 1.397e-06 3.289e-06  -0.0054 1.87e-03 7.18e-02 3.16e-01  0.2688  0.006 -4.53e-06
